@relation 'Absenteeism_at_work_A-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 12 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute ID {31.0,27.0,19.0,30.0,7.0,20.0,24.0,32.0,3.0,33.0,26.0,29.0,18.0,25.0,17.0,14.0,16.0,23.0,2.0,21.0,36.0,15.0,22.0,5.0,12.0,9.0,6.0,34.0,10.0,28.0,13.0,11.0,1.0,4.0,8.0,35.0}
@attribute Reason_for_absence {17.0,3.0,15.0,4.0,21.0,2.0,9.0,24.0,18.0,1.0,12.0,5.0,16.0,7.0,27.0,25.0,8.0,10.0,26.0,19.0,28.0,6.0,23.0,22.0,13.0,14.0,11.0,0.0}
@attribute Month_of_absence numeric
@attribute Day_of_the_week {5.0,2.0,3.0,4.0,6.0}
@attribute Seasons {4.0,1.0,2.0,3.0}
@attribute Transportation_expense numeric
@attribute Distance_from_Residence_to_Work numeric
@attribute Service_time numeric
@attribute Age numeric
@attribute Work_load_Average/day_ numeric
@attribute Hit_target numeric
@attribute Disciplinary_failure {1.0,0.0}
@attribute Education numeric
@attribute Son numeric
@attribute Social_drinker {1.0,0.0}
@attribute Social_smoker {1.0,0.0}
@attribute Pet numeric
@attribute Weight numeric
@attribute Height numeric
@attribute Body_mass_index numeric
@attribute Absenteeism_time_in_hours numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12}

@data
11.0,26.0,7,3.0,1.0,289,36,13,33,239554,97,0.0,1,2,1.0,0.0,1,90,172,30,4,cluster3
36.0,0.0,7,3.0,1.0,118,13,18,50,239554,97,1.0,1,1,1.0,0.0,0,98,178,31,0,cluster4
3.0,23.0,7,4.0,1.0,179,51,18,38,239554,97,0.0,1,0,1.0,0.0,0,89,170,31,2,cluster9
7.0,7.0,7,5.0,1.0,279,5,14,39,239554,97,0.0,1,2,1.0,1.0,0,68,168,24,4,cluster4
11.0,23.0,7,5.0,1.0,289,36,13,33,239554,97,0.0,1,2,1.0,0.0,1,90,172,30,2,cluster4
3.0,23.0,7,6.0,1.0,179,51,18,38,239554,97,0.0,1,0,1.0,0.0,0,89,170,31,2,cluster9
10.0,22.0,7,6.0,1.0,361,52,3,28,239554,97,0.0,1,1,1.0,0.0,4,80,172,27,8,cluster2
20.0,23.0,7,6.0,1.0,260,50,11,36,239554,97,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster2
14.0,19.0,7,2.0,1.0,155,12,14,34,239554,97,0.0,1,2,1.0,0.0,0,95,196,25,40,cluster3
1.0,22.0,7,2.0,1.0,235,11,14,37,239554,97,0.0,3,1,0.0,0.0,1,88,172,29,8,cluster10
20.0,1.0,7,2.0,1.0,260,50,11,36,239554,97,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster2
20.0,1.0,7,3.0,1.0,260,50,11,36,239554,97,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster2
20.0,11.0,7,4.0,1.0,260,50,11,36,239554,97,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster2
3.0,11.0,7,4.0,1.0,179,51,18,38,239554,97,0.0,1,0,1.0,0.0,0,89,170,31,1,cluster9
3.0,23.0,7,4.0,1.0,179,51,18,38,239554,97,0.0,1,0,1.0,0.0,0,89,170,31,4,cluster9
24.0,14.0,7,6.0,1.0,246,25,16,41,239554,97,0.0,1,0,1.0,0.0,0,67,170,23,8,cluster2
3.0,23.0,7,6.0,1.0,179,51,18,38,239554,97,0.0,1,0,1.0,0.0,0,89,170,31,2,cluster9
3.0,21.0,7,2.0,1.0,179,51,18,38,239554,97,0.0,1,0,1.0,0.0,0,89,170,31,8,cluster9
6.0,11.0,7,5.0,1.0,189,29,13,33,239554,97,0.0,1,2,0.0,0.0,2,69,167,25,8,cluster10
33.0,23.0,8,4.0,1.0,248,25,14,47,205917,92,0.0,1,2,0.0,0.0,1,86,165,32,2,cluster12
18.0,10.0,8,4.0,1.0,330,16,4,28,205917,92,0.0,2,0,0.0,0.0,0,84,182,25,8,cluster12
